Esum,phi,eff
1650.0,7.5,8.000000000000001e-7
1650.0,12.5,3.1e-6
1650.0,17.5,5.4e-6
1650.0,22.5,1.2100000000000001e-5
1650.0,27.5,1.39e-5
1650.0,32.5,1.81e-5
1650.0,37.5,2.6200000000000003e-5
1650.0,42.5,3.0400000000000004e-5
1650.0,47.5,2.85e-5
1650.0,52.5,3.8100000000000005e-5
1650.0,57.5,3.7600000000000006e-5
1650.0,62.5,4.44e-5
1650.0,67.5,4.72e-5
1650.0,72.5,5.1200000000000004e-5
1650.0,77.5,5.280000000000001e-5
1650.0,82.5,5.7600000000000004e-5
1650.0,87.5,5.930000000000001e-5
1650.0,92.5,5.47e-5
1650.0,97.5,6.500000000000001e-5
1650.0,102.5,5.8700000000000004e-5
1650.0,107.5,6.110000000000001e-5
1650.0,112.5,6.500000000000001e-5
1650.0,117.5,6.280000000000001e-5
1650.0,122.5,6.2e-5
1650.0,127.5,6.21e-5
1650.0,132.5,6.21e-5
1650.0,137.5,5.6300000000000006e-5
1650.0,142.5,5.61e-5
1650.0,147.5,4.970000000000001e-5
1650.0,152.5,4.44e-5
1650.0,157.5,4.11e-5
1650.0,162.5,3.1100000000000004e-5
1650.0,167.5,2.58e-5
1650.0,172.5,1.2000000000000002e-5
1650.0,177.5,5.2e-6
1750.0,2.5,5.0e-7
1750.0,7.5,1.5000000000000002e-6
1750.0,12.5,4.1000000000000006e-6
1750.0,17.5,6.8e-6
1750.0,22.5,1.2200000000000002e-5
1750.0,27.5,1.76e-5
1750.0,32.5,2.19e-5
1750.0,37.5,2.6700000000000002e-5
1750.0,42.5,3.43e-5
1750.0,47.5,3.820000000000001e-5
1750.0,52.5,4.18e-5
1750.0,57.5,4.6800000000000006e-5
1750.0,62.5,5.26e-5
1750.0,67.5,5.1200000000000004e-5
1750.0,72.5,5.75e-5
1750.0,77.5,6.0e-5
1750.0,82.5,6.54e-5
1750.0,87.5,6.47e-5
1750.0,92.5,6.92e-5
1750.0,97.5,7.14e-5
1750.0,102.5,7.390000000000001e-5
1750.0,107.5,7.500000000000001e-5
1750.0,112.5,7.54e-5
1750.0,117.5,7.740000000000001e-5
1750.0,122.5,7.44e-5
1750.0,127.5,7.350000000000001e-5
1750.0,132.5,7.350000000000001e-5
1750.0,137.5,7.01e-5
1750.0,142.5,6.83e-5
1750.0,147.5,6.330000000000001e-5
1750.0,152.5,5.4300000000000005e-5
1750.0,157.5,4.5600000000000004e-5
1750.0,162.5,4.1400000000000003e-5
1750.0,167.5,2.7e-5
1750.0,172.5,1.7500000000000002e-5
1750.0,177.5,6.600000000000001e-6
1850.0,2.5,5.0e-7
1850.0,7.5,3.1e-6
1850.0,12.5,5.4e-6
1850.0,17.5,8.6e-6
1850.0,22.5,1.39e-5
1850.0,27.5,2.0700000000000002e-5
1850.0,32.5,2.83e-5
1850.0,37.5,3.7000000000000005e-5
1850.0,42.5,4.33e-5
1850.0,47.5,4.5100000000000005e-5
1850.0,52.5,5.62e-5
1850.0,57.5,5.6500000000000005e-5
1850.0,62.5,6.19e-5
1850.0,67.5,6.730000000000001e-5
1850.0,72.5,7.350000000000001e-5
1850.0,77.5,7.54e-5
1850.0,82.5,8.120000000000001e-5
1850.0,87.5,7.950000000000001e-5
1850.0,92.5,8.950000000000001e-5
1850.0,97.5,8.740000000000001e-5
1850.0,102.5,8.67e-5
1850.0,107.5,9.45e-5
1850.0,112.5,8.910000000000001e-5
1850.0,117.5,9.82e-5
1850.0,122.5,8.7e-5
1850.0,127.5,9.04e-5
1850.0,132.5,9.150000000000002e-5
1850.0,137.5,8.570000000000001e-5
1850.0,142.5,8.010000000000001e-5
1850.0,147.5,7.560000000000001e-5
1850.0,152.5,6.59e-5
1850.0,157.5,6.01e-5
1850.0,162.5,5.11e-5
1850.0,167.5,3.57e-5
1850.0,172.5,2.2700000000000003e-5
1850.0,177.5,6.3e-6
1950.0,2.5,1.0e-6
1950.0,7.5,3.1e-6
1950.0,12.5,6.699999999999999e-6
1950.0,17.5,1.26e-5
1950.0,22.5,2.15e-5
1950.0,27.5,3.31e-5
1950.0,32.5,3.88e-5
1950.0,37.5,4.66e-5
1950.0,42.5,5.35e-5
1950.0,47.5,6.330000000000001e-5
1950.0,52.5,6.79e-5
1950.0,57.5,7.33e-5
1950.0,62.5,8.73e-5
1950.0,67.5,8.7e-5
1950.0,72.5,0.00010030000000000001
1950.0,77.5,0.0001042
1950.0,82.5,0.0001019
1950.0,87.5,0.00011020000000000001
1950.0,92.5,0.00011530000000000001
1950.0,97.5,0.00011030000000000001
1950.0,102.5,0.0001194
1950.0,107.5,0.00011710000000000001
1950.0,112.5,0.00010910000000000001
1950.0,117.5,0.00011910000000000001
1950.0,122.5,0.00011600000000000001
1950.0,127.5,0.00010920000000000001
1950.0,132.5,0.0001094
1950.0,137.5,0.00010910000000000001
1950.0,142.5,0.0001018
1950.0,147.5,9.430000000000002e-5
1950.0,152.5,8.8e-5
1950.0,157.5,7.53e-5
1950.0,162.5,5.8500000000000006e-5
1950.0,167.5,4.33e-5
1950.0,172.5,2.9000000000000004e-5
1950.0,177.5,9.9e-6
2050.0,2.5,9.000000000000001e-7
2050.0,7.5,4.800000000000001e-6
2050.0,12.5,1.02e-5
2050.0,17.5,1.79e-5
2050.0,22.5,2.83e-5
2050.0,27.5,4.11e-5
2050.0,32.5,5.4800000000000004e-5
2050.0,37.5,6.41e-5
2050.0,42.5,7.890000000000001e-5
2050.0,47.5,9.180000000000001e-5
2050.0,52.5,9.4e-5
2050.0,57.5,0.00010120000000000001
2050.0,62.5,0.00011250000000000001
2050.0,67.5,0.000121
2050.0,72.5,0.00013270000000000003
2050.0,77.5,0.00013550000000000001
2050.0,82.5,0.0001491
2050.0,87.5,0.0001482
2050.0,92.5,0.00015720000000000003
2050.0,97.5,0.0001583
2050.0,102.5,0.0001588
2050.0,107.5,0.0001613
2050.0,112.5,0.0001563
2050.0,117.5,0.0001564
2050.0,122.5,0.00015380000000000003
2050.0,127.5,0.00014840000000000003
2050.0,132.5,0.0001451
2050.0,137.5,0.0001394
2050.0,142.5,0.00013000000000000002
2050.0,147.5,0.00012930000000000003
2050.0,152.5,0.0001133
2050.0,157.5,9.92e-5
2050.0,162.5,7.71e-5
2050.0,167.5,5.7e-5
2050.0,172.5,3.54e-5
2050.0,177.5,1.2100000000000001e-5
2150.0,2.5,1.1e-6
2150.0,7.5,5.3e-6
2150.0,12.5,1.5100000000000001e-5
2150.0,17.5,2.54e-5
2150.0,22.5,4.18e-5
2150.0,27.5,6.47e-5
2150.0,32.5,7.510000000000001e-5
2150.0,37.5,9.44e-5
2150.0,42.5,0.00010580000000000001
2150.0,47.5,0.0001209
2150.0,52.5,0.0001368
2150.0,57.5,0.0001454
2150.0,62.5,0.00017030000000000002
2150.0,67.5,0.0001763
2150.0,72.5,0.0001899
2150.0,77.5,0.00020490000000000002
2150.0,82.5,0.0002115
2150.0,87.5,0.0002174
2150.0,92.5,0.00022610000000000002
2150.0,97.5,0.0002287
